label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
car,768,218,71,42,Accra1.jpg,1529,975
car,807,272,90,38,Accra1.jpg,1529,975
car,563,744,66,48,Accra10.jpg,1595,975
car,602,716,76,35,Accra10.jpg,1595,975
car,1055,207,40,28,Accra10.jpg,1595,975
car,1090,174,31,24,Accra10.jpg,1595,975
car,1165,99,34,21,Accra10.jpg,1595,975
car,363,280,87,55,Accra100.jpg,1595,975
car,539,318,104,47,Accra100.jpg,1595,975
car,384,392,106,38,Accra100.jpg,1595,975
car,378,441,129,47,Accra100.jpg,1595,975
tree,838,271,312,297,Accra101.jpg,1595,975
tree,8,63,157,278,Accra101.jpg,1595,975
tree,225,82,259,106,Accra101.jpg,1595,975
tree,534,21,201,76,Accra101.jpg,1595,975
car,197,490,68,38,Accra102.jpg,1595,975
car,263,468,85,30,Accra102.jpg,1595,975
car,679,466,104,32,Accra102.jpg,1595,975
car,995,464,98,34,Accra102.jpg,1595,975
car,1186,456,83,45,Accra102.jpg,1595,975
car,1340,428,81,32,Accra102.jpg,1595,975
car,206,483,100,40,Accra103.jpg,1595,975
car,280,464,89,30,Accra103.jpg,1595,975
car,706,449,95,40,Accra103.jpg,1595,975
car,1037,458,85,38,Accra103.jpg,1595,975
car,1213,460,70,34,Accra103.jpg,1595,975
car,1374,422,59,32,Accra103.jpg,1595,975
tree,1413,142,108,74,Accra103.jpg,1595,975
tree,1264,241,125,108,Accra103.jpg,1595,975
tree,1474,757,115,66,Accra103.jpg,1595,975
tree,1147,34,74,85,Accra103.jpg,1595,975
tree,1109,316,34,70,Accra103.jpg,1595,975
tree,751,808,70,104,Accra103.jpg,1595,975
tree,240,702,76,102,Accra103.jpg,1595,975
tree,13,530,70,78,Accra104.jpg,1595,975
tree,450,782,76,74,Accra104.jpg,1595,975
tree,564,734,70,123,Accra104.jpg,1595,975
tree,615,600,53,123,Accra104.jpg,1595,975
tree,1192,710,176,78,Accra104.jpg,1595,975
tree,1438,719,138,42,Accra104.jpg,1595,975
tree,1357,797,34,78,Accra104.jpg,1595,975
tree,1200,44,87,87,Accra104.jpg,1595,975
tree,1417,59,70,76,Accra104.jpg,1595,975
tree,800,142,57,74,Accra104.jpg,1595,975
car,1117,552,28,44,Accra104.jpg,1595,975
car,1082,549,27,44,Accra104.jpg,1595,975
car,1334,425,60,30,Accra104.jpg,1595,975
car,1446,529,46,30,Accra104.jpg,1595,975
car,842,944,117,28,Accra105.jpg,1595,975
car,1160,867,59,68,Accra105.jpg,1595,975
car,740,808,89,95,Accra105.jpg,1595,975
car,791,876,62,55,Accra105.jpg,1595,975
car,861,816,55,83,Accra105.jpg,1595,975
car,757,623,110,95,Accra105.jpg,1595,975
car,1044,723,72,93,Accra106.jpg,1595,975
car,1154,765,49,95,Accra106.jpg,1595,975
car,528,256,68,74,Accra106.jpg,1595,975
tree,702,227,140,108,Accra106.jpg,1595,975
tree,274,44,180,146,Accra106.jpg,1595,975
tree,19,447,93,87,Accra106.jpg,1595,975
tree,161,570,132,72,Accra106.jpg,1595,975
tree,812,112,98,62,Accra106.jpg,1595,975
car,655,413,83,87,Accra107.jpg,1595,975
car,346,394,81,34,Accra108.jpg,1595,975
car,448,396,59,25,Accra108.jpg,1595,975
car,484,428,87,13,Accra108.jpg,1595,975
car,615,861,93,62,Accra108.jpg,1595,975
car,615,772,89,40,Accra108.jpg,1595,975
car,632,494,30,64,Accra108.jpg,1595,975
car,664,437,87,23,Accra108.jpg,1595,975
car,683,360,66,32,Accra108.jpg,1595,975
car,1355,589,62,72,Accra108.jpg,1595,975
car,1270,651,72,28,Accra108.jpg,1595,975
car,1425,787,76,83,Accra108.jpg,1595,975
tree,414,205,129,91,Accra108.jpg,1595,975
tree,1158,473,132,165,Accra108.jpg,1595,975
tree,844,674,142,102,Accra108.jpg,1595,975
tree,335,454,100,140,Accra109.jpg,1595,975
tree,925,774,159,102,Accra109.jpg,1595,975
tree,1181,874,112,81,Accra109.jpg,1595,975
tree,740,509,83,57,Accra109.jpg,1595,975
tree,744,611,106,59,Accra109.jpg,1595,975
tree,1262,772,78,64,Accra109.jpg,1595,975
tree,1207,284,102,64,Accra109.jpg,1595,975
car,437,748,62,104,Accra109.jpg,1595,975
car,465,557,57,81,Accra109.jpg,1595,975
car,346,615,98,38,Accra109.jpg,1595,975
car,955,112,70,23,Accra109.jpg,1595,975
tree,600,604,142,119,Accra110.jpg,1595,975
tree,513,309,85,40,Accra110.jpg,1595,975
tree,948,307,121,62,Accra110.jpg,1595,975
tree,477,174,157,59,Accra110.jpg,1595,975
tree,698,74,148,83,Accra110.jpg,1595,975
tree,1470,258,117,117,Accra110.jpg,1595,975
tree,863,744,87,91,Accra110.jpg,1595,975
tree,121,193,95,78,Accra110.jpg,1595,975
tree,4,239,98,112,Accra110.jpg,1595,975
tree,1241,36,151,100,Accra110.jpg,1595,975
car,0,396,36,30,Accra111.jpg,1595,975
car,132,401,83,30,Accra111.jpg,1595,975
car,288,392,81,34,Accra111.jpg,1595,975
car,573,415,74,23,Accra111.jpg,1595,975
car,698,409,81,32,Accra111.jpg,1595,975
car,808,386,87,21,Accra111.jpg,1595,975
car,916,415,68,30,Accra111.jpg,1595,975
car,1044,386,64,19,Accra111.jpg,1595,975
car,1133,407,51,21,Accra111.jpg,1595,975
car,1287,379,85,32,Accra111.jpg,1595,975
car,1372,401,59,23,Accra111.jpg,1595,975
car,1451,405,68,25,Accra111.jpg,1595,975
car,1476,386,57,11,Accra111.jpg,1595,975
car,1304,681,83,28,Accra111.jpg,1595,975
car,1381,581,83,30,Accra111.jpg,1595,975
car,764,428,34,53,Accra112.jpg,1595,975
car,872,176,19,62,Accra112.jpg,1595,975
car,914,74,17,42,Accra112.jpg,1595,975
car,1215,859,91,59,Accra112.jpg,1595,975
car,689,587,38,78,Accra112.jpg,1595,975
car,445,687,134,32,Accra112.jpg,1595,975
car,316,697,100,45,Accra112.jpg,1595,975
car,19,837,100,21,Accra112.jpg,1595,975
car,679,689,104,47,Accra112.jpg,1595,975
car,1423,345,72,23,Accra112.jpg,1595,975
car,1461,388,85,15,Accra112.jpg,1595,975
car,568,269,25,78,Accra113.jpg,1595,975
car,604,468,70,108,Accra114.jpg,1595,975
car,456,753,102,119,Accra114.jpg,1595,975
car,318,386,62,136,Accra114.jpg,1595,975
car,356,547,57,70,Accra116.jpg,1595,975
car,420,581,36,106,Accra116.jpg,1595,975
car,221,780,136,59,Accra116.jpg,1595,975
car,1031,848,136,51,Accra116.jpg,1595,975
car,630,560,134,34,Accra119.jpg,1595,975
car,562,589,132,42,Accra119.jpg,1595,975
car,918,572,102,123,Accra120.jpg,1595,975
car,969,528,89,95,Accra120.jpg,1595,975
car,93,638,106,49,Accra120.jpg,1595,975
car,541,17,119,38,Accra120.jpg,1595,975
car,448,634,95,47,Accra122.jpg,1595,975
car,607,566,78,66,Accra122.jpg,1595,975
car,702,538,66,66,Accra122.jpg,1595,975
car,783,513,95,51,Accra122.jpg,1595,975
car,547,477,66,66,Accra123.jpg,1595,975
car,649,373,112,21,Accra123.jpg,1595,975
car,679,403,72,47,Accra123.jpg,1595,975
car,380,795,127,104,Accra123.jpg,1595,975
car,895,611,91,83,Accra123.jpg,1595,975
car,965,651,98,121,Accra123.jpg,1595,975
car,965,863,87,112,Accra123.jpg,1595,975
car,1010,814,68,123,Accra123.jpg,1595,975
car,1103,820,76,108,Accra123.jpg,1595,975
car,1147,759,38,108,Accra123.jpg,1595,975
car,1173,736,66,132,Accra123.jpg,1595,975
car,1228,719,34,121,Accra123.jpg,1595,975
car,1251,681,83,42,Accra123.jpg,1595,975
car,1402,623,102,32,Accra123.jpg,1595,975
car,1366,702,21,104,Accra123.jpg,1595,975
car,1366,700,112,59,Accra123.jpg,1595,975
car,1427,676,100,68,Accra123.jpg,1595,975
car,628,125,70,45,Accra123.jpg,1595,975
car,1514,432,81,83,Accra123.jpg,1595,975
car,187,178,100,47,Accra124.jpg,1595,975
car,1053,23,72,25,Accra124.jpg,1595,975
car,1422,57,53,52,Accra124.jpg,1595,975
car,1511,87,50,35,Accra124.jpg,1595,975
car,1489,47,23,49,Accra124.jpg,1595,975
car,1554,76,36,41,Accra124.jpg,1595,975
car,611,377,70,55,Accra126.jpg,1595,975
car,549,403,59,34,Accra126.jpg,1595,975
car,325,462,57,45,Accra126.jpg,1595,975
car,390,441,38,55,Accra126.jpg,1595,975
car,274,373,55,49,Accra126.jpg,1595,975
car,42,871,157,34,Accra126.jpg,1595,975
car,558,731,121,32,Accra126.jpg,1595,975
car,1347,403,85,45,Accra126.jpg,1595,975
car,600,504,55,49,Accra126.jpg,1595,975
car,770,371,117,98,Accra126.jpg,1595,975
car,1012,375,47,66,Accra126.jpg,1595,975
car,772,379,53,38,Accra127.jpg,1595,975
car,1035,379,45,47,Accra127.jpg,1595,975
car,876,373,28,15,Accra127.jpg,1595,975
car,647,502,91,42,Accra128.jpg,1595,975
car,713,481,72,40,Accra128.jpg,1595,975
car,1092,494,110,53,Accra128.jpg,1595,975
car,1264,549,104,32,Accra129.jpg,1595,975
car,1292,611,93,30,Accra129.jpg,1595,975
car,1298,642,125,19,Accra129.jpg,1595,975
car,1334,668,89,47,Accra129.jpg,1595,975
car,1336,706,70,45,Accra129.jpg,1595,975
car,1385,721,70,66,Accra129.jpg,1595,975
car,520,466,93,32,Accra129.jpg,1595,975
car,518,488,89,36,Accra129.jpg,1595,975
car,522,513,76,51,Accra129.jpg,1595,975
car,518,598,100,19,Accra129.jpg,1595,975
car,658,526,95,42,Accra129.jpg,1595,975
car,662,574,93,40,Accra129.jpg,1595,975
car,700,642,76,36,Accra129.jpg,1595,975
car,681,672,93,72,Accra129.jpg,1595,975
car,713,731,74,53,Accra129.jpg,1595,975
car,522,364,78,28,Accra129.jpg,1595,975
car,503,267,83,49,Accra129.jpg,1595,975
car,526,195,45,76,Accra13.jpg,1595,975
car,481,339,53,62,Accra13.jpg,1595,975
car,448,411,59,51,Accra13.jpg,1595,975
car,450,494,42,85,Accra13.jpg,1595,975
car,407,630,47,91,Accra13.jpg,1595,975
car,505,810,129,51,Accra13.jpg,1595,975
car,1194,833,102,57,Accra13.jpg,1595,975
car,1024,846,91,23,Accra13.jpg,1595,975
car,681,309,81,40,Accra13.jpg,1595,975
car,785,299,66,40,Accra13.jpg,1595,975
car,1039,316,108,53,Accra13.jpg,1595,975
car,713,468,284,180,Accra133.jpg,1595,975
car,1175,333,74,49,Accra133.jpg,1595,975
car,1270,337,70,104,Accra133.jpg,1595,975
car,104,657,85,42,Accra134.jpg,1595,975
car,214,627,81,55,Accra134.jpg,1595,975
car,308,613,81,62,Accra134.jpg,1595,975
car,401,585,127,70,Accra134.jpg,1595,975
car,549,589,85,40,Accra134.jpg,1595,975
car,638,562,74,53,Accra134.jpg,1595,975
car,25,787,49,76,Accra134.jpg,1595,975
car,804,572,81,57,Accra134.jpg,1595,975
car,925,560,115,42,Accra134.jpg,1595,975
car,1065,553,89,49,Accra134.jpg,1595,975
car,1162,869,112,49,Accra134.jpg,1595,975
car,371,755,55,72,Accra134.jpg,1595,975
car,655,710,59,70,Accra134.jpg,1595,975
car,437,666,78,32,Accra134.jpg,1595,975
car,660,619,72,42,Accra134.jpg,1595,975
car,1357,570,45,38,Accra134.jpg,1595,975
car,993,502,153,42,Accra134.jpg,1595,975
car,1050,481,76,28,Accra134.jpg,1595,975
car,1141,498,85,32,Accra134.jpg,1595,975
car,1224,475,87,25,Accra134.jpg,1595,975
car,1321,460,70,38,Accra134.jpg,1595,975
car,1425,430,47,38,Accra134.jpg,1595,975
car,1391,483,85,25,Accra134.jpg,1595,975
car,473,379,70,53,Accra134.jpg,1595,975
car,403,322,57,53,Accra134.jpg,1595,975
car,168,490,36,66,Accra134.jpg,1595,975
car,199,473,38,72,Accra134.jpg,1595,975
car,238,473,40,70,Accra134.jpg,1595,975
car,778,466,57,74,Accra135.jpg,1595,975
car,804,577,59,68,Accra135.jpg,1595,975
car,867,795,74,93,Accra135.jpg,1595,975
car,1012,687,59,98,Accra135.jpg,1595,975
car,708,188,49,42,Accra135.jpg,1595,975
car,560,93,62,55,Accra135.jpg,1595,975
car,781,261,59,45,Accra135.jpg,1595,975
car,812,294,83,74,Accra135.jpg,1595,975
car,965,441,83,66,Accra135.jpg,1595,975
car,647,44,59,36,Accra136.jpg,1595,975
car,844,256,64,51,Accra136.jpg,1595,975
car,1228,331,36,78,Accra136.jpg,1595,975
car,1245,384,68,55,Accra136.jpg,1595,975
car,1285,405,64,59,Accra136.jpg,1595,975
car,1336,441,49,66,Accra136.jpg,1595,975
car,1266,511,74,42,Accra136.jpg,1595,975
car,496,460,68,36,Accra137.jpg,1595,975
car,475,502,78,32,Accra137.jpg,1595,975
car,460,551,70,34,Accra137.jpg,1595,975
car,674,468,76,42,Accra137.jpg,1595,975
car,653,551,25,45,Accra137.jpg,1595,975
car,689,557,40,40,Accra137.jpg,1595,975
car,734,570,28,93,Accra137.jpg,1595,975
car,823,602,25,110,Accra137.jpg,1595,975
car,764,441,32,83,Accra137.jpg,1595,975
car,778,316,32,95,Accra137.jpg,1595,975
car,800,239,25,57,Accra137.jpg,1595,975
car,677,755,38,102,Accra137.jpg,1595,975
car,1105,133,53,21,Accra138.jpg,1595,975
car,1097,104,68,13,Accra138.jpg,1595,975
car,1313,307,38,66,Accra138.jpg,1595,975
car,1237,188,40,64,Accra139.jpg,1595,975
car,717,345,68,28,Accra139.jpg,1595,975
car,689,379,83,34,Accra139.jpg,1595,975
car,666,411,62,40,Accra139.jpg,1595,975
car,530,547,62,91,Accra139.jpg,1595,975
car,522,193,32,64,Accra14.jpg,1595,975
car,490,343,38,64,Accra14.jpg,1595,975
car,458,401,40,76,Accra14.jpg,1595,975
car,458,504,38,72,Accra14.jpg,1595,975
car,501,808,161,45,Accra14.jpg,1595,975
car,1186,844,115,49,Accra14.jpg,1595,975
car,679,309,95,42,Accra14.jpg,1595,975
car,770,314,70,38,Accra14.jpg,1595,975
car,1039,316,89,42,Accra14.jpg,1595,975
car,585,443,47,57,Accra140.jpg,1595,975
car,528,547,66,89,Accra140.jpg,1595,975
car,670,418,66,36,Accra140.jpg,1595,975
car,687,377,72,36,Accra140.jpg,1595,975
car,715,350,64,25,Accra140.jpg,1595,975
car,1237,199,32,57,Accra140.jpg,1595,975
car,334,657,35,18,Accra141.jpg,1595,975
car,386,521,23,23,Accra141.jpg,1595,975
car,928,821,30,16,Accra141.jpg,1595,975
car,115,316,129,62,Accra142.jpg,1595,975
car,34,782,87,93,Accra142.jpg,1595,975
car,405,483,57,106,Accra145.jpg,1595,975
car,490,532,68,125,Accra145.jpg,1595,975
car,711,577,144,76,Accra147.jpg,1595,975
car,768,483,144,89,Accra147.jpg,1595,975
car,848,437,93,62,Accra147.jpg,1595,975
car,859,401,161,28,Accra147.jpg,1595,975
car,1158,424,108,72,Accra148.jpg,1595,975
car,1311,524,134,78,Accra148.jpg,1595,975
car,950,606,157,132,Accra148.jpg,1595,975
car,93,390,127,40,Accra148.jpg,1595,975
car,4,441,108,64,Accra148.jpg,1595,975
car,314,541,100,142,Accra150.jpg,1595,975
car,689,324,134,32,Accra150.jpg,1595,975
car,997,519,89,74,Accra152.jpg,1595,975
car,365,451,89,81,Accra153.jpg,1595,975
car,647,377,64,78,Accra153.jpg,1595,975
car,1052,195,81,76,Accra153.jpg,1595,975
car,532,483,172,87,Accra154.jpg,1595,975
car,204,587,195,76,Accra155.jpg,1595,975
car,505,538,185,55,Accra155.jpg,1595,975
car,991,434,168,59,Accra155.jpg,1595,975
car,1334,375,151,59,Accra155.jpg,1595,975
car,1542,333,53,83,Accra155.jpg,1595,975
car,1220,515,125,62,Accra156.jpg,1595,975
car,322,664,102,78,Accra156.jpg,1595,975
car,301,78,70,91,Accra157.jpg,1595,975
car,407,337,70,95,Accra157.jpg,1595,975
car,1409,586,110,31,Accra158.jpg,1595,975
car,1444,629,82,21,Accra158.jpg,1595,975
car,1097,948,129,27,Accra158.jpg,1595,975
car,505,492,121,38,Accra159.jpg,1595,975
car,670,284,119,34,Accra159.jpg,1595,975
car,725,309,102,62,Accra159.jpg,1595,975
car,895,384,125,104,Accra159.jpg,1595,975
car,571,625,146,98,Accra159.jpg,1595,975
car,252,509,286,214,Accra16.jpg,1595,975
car,431,519,165,132,Accra160.jpg,1595,975
car,518,318,185,142,Accra160.jpg,1595,975
car,1154,142,153,108,Accra160.jpg,1595,975
car,666,377,36,25,Accra161.jpg,1595,975
car,922,285,32,25,Accra161.jpg,1595,975
car,982,357,37,19,Accra161.jpg,1595,975
car,991,380,36,21,Accra161.jpg,1595,975
car,1100,314,38,22,Accra161.jpg,1595,975
car,1188,282,30,25,Accra161.jpg,1595,975
car,305,635,30,29,Accra161.jpg,1595,975
car,392,621,50,1,Accra161.jpg,1595,975
car,142,603,32,22,Accra161.jpg,1595,975
car,0,646,35,30,Accra161.jpg,1595,975
car,0,767,26,7,Accra161.jpg,1595,975
car,89,722,31,24,Accra161.jpg,1595,975
car,0,781,37,22,Accra161.jpg,1595,975
car,146,246,112,119,Accra162.jpg,1595,975
car,371,551,138,89,Accra162.jpg,1595,975
car,414,615,132,100,Accra162.jpg,1595,975
car,855,375,104,76,Accra162.jpg,1595,975
car,1181,241,108,81,Accra162.jpg,1595,975
car,218,362,76,106,Accra163.jpg,1595,975
car,78,772,108,104,Accra163.jpg,1595,975
car,246,704,104,108,Accra163.jpg,1595,975
car,575,585,108,93,Accra163.jpg,1595,975
car,918,434,110,83,Accra163.jpg,1595,975
car,1141,335,91,83,Accra163.jpg,1595,975
car,1343,254,110,57,Accra163.jpg,1595,975
car,1404,135,108,91,Accra163.jpg,1595,975
car,501,441,125,78,Accra164.jpg,1595,975
car,806,284,123,91,Accra164.jpg,1595,975
car,1387,93,100,68,Accra164.jpg,1595,975
car,25,74,132,74,Accra165.jpg,1595,975
car,208,63,125,93,Accra165.jpg,1595,975
car,1048,661,64,98,Accra165.jpg,1595,975
car,1200,642,64,91,Accra165.jpg,1595,975
car,1455,772,81,81,Accra165.jpg,1595,975
car,541,309,68,93,Accra166.jpg,1595,975
car,687,210,87,106,Accra166.jpg,1595,975
car,395,780,115,112,Accra166.jpg,1595,975
car,1334,76,83,81,Accra167.jpg,1595,975
car,1090,68,74,95,Accra167.jpg,1595,975
car,829,82,134,40,Accra167.jpg,1595,975
car,681,216,78,91,Accra167.jpg,1595,975
car,757,403,185,62,Accra167.jpg,1595,975
car,492,301,91,106,Accra167.jpg,1595,975
car,492,492,108,91,Accra167.jpg,1595,975
car,240,428,21,87,Accra167.jpg,1595,975
car,165,451,66,76,Accra167.jpg,1595,975
car,68,538,85,102,Accra167.jpg,1595,975
car,140,751,78,78,Accra167.jpg,1595,975
car,259,702,32,85,Accra167.jpg,1595,975
car,386,653,91,72,Accra167.jpg,1595,975
car,475,611,64,85,Accra167.jpg,1595,975
car,577,666,70,76,Accra167.jpg,1595,975
car,539,600,85,45,Accra167.jpg,1595,975
car,331,901,25,74,Accra167.jpg,1595,975
car,1058,613,32,108,Accra167.jpg,1595,975
car,925,685,42,125,Accra167.jpg,1595,975
car,759,545,66,89,Accra170.jpg,1595,975
car,386,161,74,85,Accra172.jpg,1595,975
car,539,549,74,95,Accra172.jpg,1595,975
car,0,265,66,38,Accra172.jpg,1595,975
car,785,636,74,81,Accra173.jpg,1595,975
car,433,12,81,76,Accra175.jpg,1595,975
car,647,521,76,93,Accra175.jpg,1595,975
car,704,261,64,74,Accra176.jpg,1595,975
car,679,212,81,64,Accra176.jpg,1595,975
car,776,210,55,93,Accra176.jpg,1595,975
car,808,174,81,85,Accra176.jpg,1595,975
car,212,547,87,108,Accra176.jpg,1595,975
car,1317,583,85,72,Accra176.jpg,1595,975
car,1084,384,100,78,Accra176.jpg,1595,975
car,286,543,68,53,Accra177.jpg,1595,975
car,314,570,66,59,Accra177.jpg,1595,975
car,749,290,28,62,Accra177.jpg,1595,975
car,484,394,47,32,Accra177.jpg,1595,975
